Record #,ID,DOI,Strain,Titer,Product,Type,Substrate,Comment
42674,40851,10.1016/j.ymben.2012.08.009,Escherichia coli,5.2g/L,fatty acid,Acid,,
42676,40853,10.1016/j.ymben.2012.08.008,Escherichia coli,1.70g/L,fatty acid,Acid,,
52352,40855,10.1007/s00253-012-4418-0,Saccharomyces cerevisiae,,,,,
42678,40855,10.1007/s00253-012-4418-0,-,-,-,-,,-
42697,40874,10.1007/s00253-011-3864-4,NULL,NULL,NULL,NULL,,
42710,40887,10.1186/1475-2859-11-132,NULL,NULL,NULL,NULL,,
42712,40889,10.1002/bab.1032,NULL,NULL,NULL,NULL,,
42717,40894,10.1016/j.ymben.2012.07.006,Escherichia coli,10.8 g L-1,1-propanol,Alcohol,,
42718,40895,10.1016/j.ymben.2012.06.005,Escherichia coli,1.88 g/L,heparosan,Other,,
42719,40896,10.1016/j.ymben.2012.06.001,NULL,NULL,NULL,NULL,,
42721,40898,10.1016/j.biortech.2012.05.100,Escherichia coli,1850 mg L-1,shikimic acid,Acid,,
42766,40943,10.1016/j.biortech.2012.02.088,Escherichia coli,36.3 g/L,tryptophan,Amino Acid,,
42787,40964,10.1007/s00253-011-3779-0,NULL,NULL,NULL,NULL,,
42802,40979,10.1002/bit.24398,NULL,NULL,NULL,NULL,,
42804,40981,10.1186/1475-2859-11-48,-,-,-,-,,-
52353,40981,10.1186/1475-2859-11-48,Escherichia coli,1.23 g/l,2-fucosyllactose,Other,lactose,
42841,41018,10.1186/1475-2859-11-30,-,-,-,-,,-
52354,41018,10.1186/1475-2859-11-30,Escherichia coli,10.15 g l(-1),L-tryptophan,,glucose,
42843,41020,10.1007/s11746-011-1927-4,Physcomitrella patens,24.3 mg/L,adrenic acid,Acid,,
42858,41020,10.1007/s11746-011-1927-4,Physcomitrella patens,11.7 mg L-1,docosapentaenoic acid,Acid,,
42873,41035,10.1007/s00253-011-3752-y,NULL,NULL,NULL,NULL,,
42880,41042,10.1016/j.jbiotec.2011.06.008,Escherichia coli,2.14 mM,3-Hydroxypropionate,Acid,,
42883,41045,10.1007/s10529-011-0774-6,-,-,-,-,,-
52355,41045,10.1007/s10529-011-0774-6,,,,,,
42919,41081,10.1100/2012/819793,NULL,NULL,NULL,NULL,,
42942,41104,10.4161/bbug.3.1.18446,Escherichia coli,33.9 mg/L,reticuline,Alkaloid,,
42973,41135,10.1016/j.ymben.2011.08.001,Escherichia coli,380.0 mg/L,farnesene,Isoprenoid,,
42974,41136,10.1016/j.ymben.2011.09.007,Escherichia coli,2.0 g/L,fatty acid,Acid,,
42980,41142,10.1016/j.bej.2011.06.003,NULL,NULL,NULL,NULL,,
52356,41143,10.1016/j.ijhydene.2011.04.161,,,,,glucose,
42981,41143,10.1016/j.ijhydene.2011.04.161,-,-,-,-,,-
52357,41156,none,Pseudomonas denitrificans,212.02mg/l,vitamin B-12,Other,glucose,
42994,41156,none,-,-,-,-,,-
52358,41157,10.1038/ncomms1494,Saccharomyces cerevisiae,900 mg l(-1),bisabolene,Isoprenoid,ethanol,
42995,41157,10.1038/ncomms1494,-,-,-,-,,-
43019,41181,10.1007/s00253-011-3271-x,-,-,-,-,,-
52359,41181,10.1007/s00253-011-3271-x,,,,,glucose,
43023,41185,10.1002/bit.23129,Saccharomyces cerevisiae,5 mg/L,geraniol,Isoprenoid,,
43026,41188,10.1186/1475-2859-10-59,Escherichia coli,67 mg/L,retinal,Alkaloid,,
43037,41188,10.1186/1475-2859-10-59,Escherichia coli,54 mg/L,retinol,Alkaloid,,
43048,41188,10.1186/1475-2859-10-59,Escherichia coli,15 mg/L,retinyl acetate,Alkaloid,,
43034,41196,10.1016/j.ymben.2011.02.002,-,-,-,-,,-
43045,41196,10.1016/j.ymben.2011.02.002,-,-,-,-,,-
43056,41196,10.1016/j.ymben.2011.02.002,-,-,-,-,,-
52360,41196,10.1016/j.ymben.2011.02.002,Escherichia coli,84 mg/l,naringenin,Polyketide,,
43059,41199,none,Corynebacterium crenatum,39.7 g/L,arginine,Amino Acid,,
43060,41200,none,Escherichia coli,235 mg/L,amorphadiene,Isoprenoid,,
43084,41224,10.1002/bit.23044,Escherichia coli,60.7 g/L,L-valine,Amino Acid,,
43085,41225,10.1038/ncomms1327,-,-,-,-,,-
52361,41225,10.1038/ncomms1327,Escherichia coli,46.0 mg l(-1),reticuline,Alkaloid,,
43087,41227,10.1016/j.biortech.2011.02.089,-,-,-,-,,-
52362,41227,10.1016/j.biortech.2011.02.089,Escherichia coli,,,,,
43090,41230,10.1128/AEM.02186-10,-,-,-,-,,-
52363,41230,10.1128/AEM.02186-10,Escherichia coli,2.3 g/l,resveratrol,Polyketide,,
43094,41234,10.1038/nbt.1847,NULL,NULL,NULL,NULL,,
43100,41240,none,NULL,NULL,NULL,NULL,,
43108,41248,10.1002/bit.22995,Escherichia coli,32.3 g/L,L-valine,Amino Acid,,
43120,41260,10.1186/1475-2859-10-16,NULL,NULL,NULL,NULL,,
43128,41268,10.1007/s00284-010-9817-9,-,-,-,-,,-
52364,41268,10.1007/s00284-010-9817-9,Escherichia coli,125 g/l,D-lactic acid,Acid,,
43165,41305,none,Escherichia coli,114.5 g/L,D-lactate,Acid,,
43169,41309,none,Escherichia coli,474 mg/L,naringenin,Alkaloid,,
43181,41321,10.1186/1754-1611-5-10,NULL,NULL,NULL,NULL,,
43213,41353,10.1002/bit.22831,Escherichia coli,135.5 mg/L,farnesol,Isoprenoid,,
43227,41367,10.1007/s00253-010-2774-1,NULL,NULL,NULL,NULL,,
43231,41371,none,NULL,NULL,NULL,NULL,,
52365,41375,10.1016/j.jbiotec.2010.06.011,Escherichia coli,1.9 gl(-1),thymidine,Other,glucose,
43235,41375,10.1016/j.jbiotec.2010.06.011,-,-,-,-,,-
43264,41404,10.1016/j.biortech.2010.01.066,Saccharomyces cerevisiae,2.4 g L-1,ethanol,Alcohol,,
43265,41405,10.1002/bit.22660,Escherichia coli,0.44 g L-1,alkane,Other,,
43279,41419,10.1016/j.ymben.2009.12.002,NULL,NULL,NULL,NULL,,
43288,41428,10.1186/1475-2859-9-21,Escherichia coli,7 g/L,shikimic acid,Acid,,
43292,41432,10.3109/08977190903443048,-,-,-,-,,-
52366,41432,10.3109/08977190903443048,,,,,,
43379,41519,10.1128/AEM.00670-09,-,-,-,-,,-
52367,41519,10.1128/AEM.00670-09,,,,,,
43384,41524,10.1002/bit.22502,Escherichia coli,24.2 g L-1,putrescine,Other,,
43399,41539,10.1007/s10295-009-0606-z,Escherichia coli,5.6 g L-1,L-phenylalanine,Amino Acid,,
43430,41570,10.1002/bit.22347,NULL,NULL,NULL,NULL,,
52368,41581,10.1016/j.procbio.2009.04.018,Escherichia coli,260 mg/l,lycopene,Isoprenoid,,
43441,41581,10.1016/j.procbio.2009.04.018,-,-,-,-,,-
43446,41586,10.1016/j.biotechadv.2009.02.003,NULL,NULL,NULL,NULL,,
43480,41620,none,Thermoanaerobacterium saccharolyticum,37 g/L,ethanol,Alcohol,,
43487,41627,10.1073/pnas.0812364106,Saccharomyces cerevisiae,40.0 g/L,ethanol,Alcohol,,
43502,41642,10.1007/BF03178334,Corynebacterium glutamicum,141 g/L,glutamic acid,Amino Acid,,
43527,41667,10.1016/j.copbio.2008.10.014,NULL,NULL,NULL,NULL,,
43530,41670,none,Escherichia coli,26.4 g/L,succinic acid,Acid,,
43535,41675,10.1128/AEM.01610-08,-,-,-,-,,-
52369,41675,10.1128/AEM.01610-08,Escherichia coli,90 g/l,pyruvic acid,Acid,,
43536,41676,10.1007/s00253-008-1631-y,Escherichia coli,1.25 g/L,2-methyl-1-butanol,Alcohol,,
43591,41731,10.1016/j.jbiotec.2008.02.023,-,-,-,-,,-
52370,41731,10.1016/j.jbiotec.2008.02.023,Escherichia coli,228 mg/l,beta-carotene,Isoprenoid,,
43601,41741,10.1016/j.procbio.2008.02.001,-,-,-,-,,-
52371,41741,10.1016/j.procbio.2008.02.001,Escherichia coli,28 mg/l,naringenin,Alkaloid,,
43625,41765,10.1002/bit.21664,NULL,NULL,NULL,NULL,,
43627,41767,none,-,-,-,-,,-
52372,41767,none,,,,,,
43632,41772,10.1002/bit.21609,NULL,NULL,NULL,NULL,,
43635,41775,10.1007/s00253-007-1307-z,-,-,-,-,,-
52373,41775,10.1007/s00253-007-1307-z,Escherichia coli,2.33 g l(-1),L-phenylalanine,Amino Acid,glucose,
43671,41811,10.1038/msb4100196,Escherichia coli,82.4 g/L,L-threonine,Amino Acid,,
52374,41822,10.1007/s10529-007-9462-y,,,,,,
43682,41822,10.1007/s10529-007-9462-y,-,-,-,-,,-
52375,41842,10.1271/bbb.60699,Corynebacterium glutamicum,2.6g/l,cadaverine,Other,glucose,
43702,41842,10.1271/bbb.60699,-,-,-,-,,-
43703,41843,10.1021/bp0701551b,NULL,NULL,NULL,NULL,,
52376,41882,10.1073/pnas.0702609104,Escherichia coli,7.55 g/l,l-valine,Amino Acid,,
43742,41882,10.1073/pnas.0702609104,-,-,-,-,,-
52377,41885,10.1007/s00253-006-0792-9,Escherichia coli,9.7 g/l,L-tyrosine,Amino Acid,,
43745,41885,10.1007/s00253-006-0792-9,-,-,-,-,,-
43779,41919,10.1007/s10529-006-9182-8,-,-,-,-,,-
52378,41919,10.1007/s10529-006-9182-8,E. coli,,,,,
43786,41926,10.1002/bit.21017,Escherichia coli,0.5 g/L,amorphadiene,Isoprenoid,,
43821,41961,10.1002/bit.20912,Escherichia coli,102 mg/L,lycopene,Isoprenoid,,
43844,41984,10.1007/s10529-006-9023-9,-,-,-,-,,-
52379,41984,10.1007/s10529-006-9023-9,Escherichia coli,390 mg l(-1),beta-carotene,Isoprenoid,,
43870,42010,10.1263/jbb.101.172,-,-,-,-,,-
52380,42010,10.1263/jbb.101.172,Saccharomyces cerevisiae,61.5 g/l,D-lactic acid,Acid,glucose,
43897,42037,10.1002/bit.20542,Escherichia coli,1.75 g/L,lactate,Acid,,
52381,42111,10.1016/j.biortech.2004.04.011,Corynebacterium lilium,3.39 gl(-1),L-methionine,Amino Acid,,
43971,42111,10.1016/j.biortech.2004.04.011,-,-,-,-,,-
44012,42152,10.1016/j.pep.2004.06.025,NULL,NULL,NULL,NULL,,
52382,42167,none,Bacillus subtilis,10.1 g/l,D-ribose,Other,,
44027,42167,none,-,-,-,-,,-
44039,42179,10.1007/BF02942346,NULL,NULL,NULL,NULL,,
44051,42191,10.1016/j.molcatb.2003.12.025,-,-,-,-,,-
52383,42191,10.1016/j.molcatb.2003.12.025,E. coli,,glucose,Other,glucose,
44056,42196,10.1021/bp034348k,NULL,NULL,NULL,NULL,,
44083,42223,10.1002/bit.10916,NULL,NULL,NULL,NULL,,
44087,42227,none,NULL,NULL,NULL,NULL,,
44089,42229,none,NULL,NULL,NULL,NULL,,
44090,42230,none,Escherichia coli,30 g/L,ethanol,Alcohol,,
44093,42233,none,NULL,NULL,NULL,NULL,,
44095,42235,10.1023/B:WIBI.0000021750.22050.55,-,-,-,-,,-
52384,42235,10.1023/B:WIBI.0000021750.22050.55,Escherichia coli,,,,,
44098,42238,10.1023/B:BILE.0000015473.89280.ce,-,-,-,-,,-
52385,42238,10.1023/B:BILE.0000015473.89280.ce,,,,,,
44108,42248,none,-,-,-,-,,-
52386,42248,none,Escherichia coli,,,,,
44109,42249,none,NULL,NULL,NULL,NULL,,
44119,42259,none,Escherichia coli,7 g/L,succinic acid,,,20 g/L glucose as substrate
44136,42276,10.1023/B:BILE.0000007072.56577.0c,-,-,-,-,,-
52387,42276,10.1023/B:BILE.0000007072.56577.0c,Escherichia coli,,,,,
44140,42280,none,NULL,NULL,NULL,NULL,,
44171,42311,none,-,-,-,-,,-
52388,42311,none,Saccharomyces cerevisiae,,,,,
44173,42313,none,-,-,-,-,,-
52389,42313,none,Saccharomyces cerevisiae,,,,,
44181,42321,none,NULL,NULL,NULL,NULL,,
44196,42336,10.1002/cbic.200200540,NULL,NULL,NULL,NULL,,
52390,42341,10.1016/S0378-5173(03)00078-4,,,,,fructose,
44201,42341,10.1016/S0378-5173(03)00078-4,-,-,-,-,,-
44217,42357,10.1007/BF02940269,NULL,NULL,NULL,NULL,,
44229,42369,10.1007/s00449-002-0300-2,NULL,NULL,NULL,NULL,,
52391,42370,10.1007/s00449-002-0304-y,,,,,glucose,
44230,42370,10.1007/s00449-002-0304-y,-,-,-,-,,-
52392,42380,10.1046/j.1472-765X.2003.01276.x,Saccharomyces cerevisiae,,,,,
44240,42380,10.1046/j.1472-765X.2003.01276.x,-,-,-,-,,-
44300,42440,10.1016/S1389-0344(02)00003-5,NULL,NULL,NULL,NULL,,
44304,42444,none,-,-,-,-,,-
52393,42444,none,,,,,,
44333,42473,none,-,-,-,-,,-
52394,42473,none,,,,,lactose,
44336,42476,10.1002/1439-7633(20020104)3:1<47::AID-CBIC47>3.0.CO;2-N,NULL,NULL,NULL,NULL,,
44354,42494,10.1007/s00253-001-0829-z,-,-,-,-,,-
52395,42494,10.1007/s00253-001-0829-z,Corynebacterium glutamicum,2.2g l(-1),L-isoleucine,Amino Acid,,
44368,42508,none,-,-,-,-,,-
52396,42508,none,,,glucose,Other,glucose,
44376,42516,none,-,-,-,-,,-
52397,42516,none,Candida utilis,,,,,
44377,42517,none,-,-,-,-,,-
52398,42517,none,Bacillus subtilis,,,,glucose,
44420,42560,10.1128/AEM.67.3.1280-1283.2001,NULL,NULL,NULL,NULL,,
44435,42575,none,NULL,NULL,NULL,NULL,,
44443,42583,10.1002/1097-0290(20001220)70:6<670::AID-BIT9>3.0.CO;2-7,NULL,NULL,NULL,NULL,,
44453,42593,10.1021/bp000076z,,4.5 g/L,"1,2-Propanediol",Alcohol,,0.19 g/g glucose yield
44457,42597,10.1007/s004499900176,-,-,-,-,,-
52399,42597,10.1007/s004499900176,,,,,,
44461,42601,none,-,-,-,-,,-
52400,42601,none,Escherichia coli,24.8 g/L,PHB,Polymer,lactose,
52401,42608,none,Escherichia coli,2.8 g/l,succinic acid,Acid,,
44468,42608,none,-,-,-,-,,-
44471,42611,10.1002/(SICI)1097-0290(20000720)69:2<140::AID-BIT3>3.0.CO;2-R,NULL,NULL,NULL,NULL,,
52402,42621,10.1007/s002530000318,Escherichia coli,,,,,
44481,42621,10.1007/s002530000318,-,-,-,-,,-
44482,42622,10.1139/cjm-46-6-532,NULL,NULL,NULL,NULL,,
52403,42628,10.1038/sj.jim.7000014,,,,,,
44488,42628,10.1038/sj.jim.7000014,-,-,-,-,,-
52404,42629,none,Escherichia coli,,,,,
44489,42629,none,-,-,-,-,,-
52405,42644,none,Alcaligenes,,butyrate,Acid,acetate,
44504,42644,none,-,-,-,-,,-
52406,42649,10.1007/s002530050017,,,,,lactose,
44509,42649,10.1007/s002530050017,-,-,-,-,,-
52407,42652,10.1023/A:1005627820455,Escherichia coli,7.4 g l(-1),GlcNAc,Other,,
44512,42652,10.1023/A:1005627820455,-,-,-,-,,-
52408,42662,none,Enterococcus faecalis,153 g/l,succinic acid,Acid,glycerol,
44522,42662,none,-,-,-,-,,-
44525,42665,10.1002/(SICI)1097-0290(20000120)67:2<240::AID-BIT14>3.0.CO;2-F,Aeromonas hydrophila,43.3 g/L,polyhydroxyalkanoate,Polymer,,
44527,42667,none,Clostridium acetobutylicum,16.7 g/L,butanol,Alcohol,,
44565,42705,10.1111/j.1574-6968.1999.tb08751.x,-,-,-,-,,-
52409,42705,10.1111/j.1574-6968.1999.tb08751.x,Escherichia coli,,,,,
44566,42706,10.1016/S0378-1097(99)00429-2,-,-,-,-,,-
52410,42706,10.1016/S0378-1097(99)00429-2,Escherichia coli,1700 mg l-1,L-cysteine,Amino Acid,glucose,
44571,42711,none,-,-,-,-,,-
52411,42711,none,Escherichia coli,88.1 g/l,polyhydroxyalkanoate,Polymer,glucose,
44577,42717,none,-,-,-,-,,-
52412,42717,none,Escherichia coli,177 g/L,PHB,Polymer,,
44598,42738,10.1016/S1389-1723(99)80196-0,-,-,-,-,,-
52413,42738,10.1016/S1389-1723(99)80196-0,Corynebacterium lactofermentum,6.4 g/l,L-lysine,Amino Acid,acetate,
44609,42749,none,Escherichia coli,69 g/L,3-Dehydroshikimic acid,Acid,,0.3 mol/mol glucose yield
44618,42758,10.1002/(SICI)1097-0290(19990620)63:6<705::AID-BIT8>3.0.CO;2-M,NULL,NULL,NULL,NULL,,
44619,42759,10.1002/(SICI)1097-0290(19990620)63:6<712::AID-BIT9>3.0.CO;2-R,NULL,NULL,NULL,NULL,,
44622,42762,10.1007/s002530051459,-,-,-,-,,-
52414,42762,10.1007/s002530051459,Escherichia coli,,,,,
44636,42776,none,-,-,-,-,,-
52415,42776,none,Corynebacterium glutamicum,1 g/l,pantothenic acid,Acid,L-valine,
44649,42789,none,-,-,-,-,,-
52416,42789,none,Escherichia coli,62.2 g/L,D-lactic acid,Acid,,
44653,42793,none,NULL,NULL,NULL,NULL,,
44664,42804,10.1002/(SICI)1097-0290(19990305)62:5<546::AID-BIT6>3.0.CO;2-0,Escherichia coli,157 g/L,polyhydroxyalkanoate,Polymer,,
44676,42816,10.1023/A:1005451810844,-,-,-,-,,-
52417,42816,10.1023/A:1005451810844,Escherichia coli,4.4 g/l,polyhydroxyalkanoate,Polymer,glucose,
44685,42825,none,-,-,-,-,,-
52418,42825,none,,,,,,
44702,42842,none,-,-,-,-,,-
52419,42842,none,,,,,ethanol,
44708,42848,10.1021/bp980115v,NULL,NULL,NULL,NULL,,
44719,42859,10.1002/(SICI)1097-0290(19981220)60:6<729::AID-BIT9>3.0.CO;2-G,NULL,NULL,NULL,NULL,,
44730,42870,none,-,-,-,-,,-
52420,42870,none,Escherichia coli,,,,,
44744,42884,10.1023/B:BILE.0000015925.52287.1f,Escherichia coli,1.77 g/L,succinic acid,Acid,,
44766,42906,10.1002/(SICI)1098-111X(199806)13:6<539::AID-INT8>3.0.CO;2-M,NULL,NULL,NULL,NULL,,
44777,42917,10.1002/(SICI)1097-0290(19980420)58:2/3<325::AID-BIT33>3.0.CO;2-8,Escherichia coli,104 g/L,polyhydroxyalkanoate,Polymer,,
52421,42929,none,,,,,,
44789,42929,none,-,-,-,-,,-
52422,42930,10.1007/s002530051159,,,,,hydrol,
44790,42930,10.1007/s002530051159,-,-,-,-,,-
44799,42939,10.1002/(SICI)1097-0290(19980105)57:1<71::AID-BIT9>3.0.CO;2-S,Escherichia coli,14 g/L,acetic acid,Acid,,
44805,42945,10.1007/s002530051136,-,-,-,-,,-
52423,42945,10.1007/s002530051136,,,,,,
44817,42957,10.1016/S0922-338X(97)86771-2,-,-,-,-,,-
52424,42957,10.1016/S0922-338X(97)86771-2,,,,,,
44823,42963,10.1002/(SICI)1097-0290(19971220)56:6<697::AID-BIT13>3.0.CO;2-5,Alcaligenes eutrophus,105 g/L,polyhydroxyalkanoate,Polymer,,
44828,42968,none,-,-,-,-,,-
52425,42968,none,Escherichia coli,101 g/l,PHB,Polymer,,
44832,42972,10.1002/(SICI)1097-0290(19971120)56:4<449::AID-BIT10>3.0.CO;2-7,NULL,NULL,NULL,NULL,,
44834,42974,10.1007/s002530051101,-,-,-,-,,-
52426,42974,10.1007/s002530051101,Escherichia coli,,,,,
44835,42975,10.1023/A:1018480208285,NULL,NULL,NULL,NULL,,
44885,43025,10.1021/bp970007t,NULL,NULL,NULL,NULL,,
44890,43030,10.1016/S0141-0229(96)00106-8,-,-,-,-,,-
52427,43030,10.1016/S0141-0229(96)00106-8,,,,,,
44897,43037,10.1016/S0922-338X(97)87328-X,-,-,-,-,,-
52428,43037,10.1016/S0922-338X(97)87328-X,Escherichia coli,1.9 g/l,colominic acid,Acid,,
44907,43047,10.1007/s002530050855,-,-,-,-,,-
52429,43047,10.1007/s002530050855,,,,,,
44933,43073,none,-,-,-,-,,-
52430,43073,none,Escherichia coli,38g/l,ethanol,Alcohol,,
44944,43084,none,NULL,NULL,NULL,NULL,,
44950,43090,10.1002/(SICI)1097-0290(19960805)51:3<317::AID-BIT7>3.0.CO;2-G,NULL,NULL,NULL,NULL,,
44953,43093,10.1007/BF00154623,NULL,NULL,NULL,NULL,,
44967,43107,10.1007/BF00130766,-,-,-,-,,-
52431,43107,10.1007/BF00130766,Escherichia coli,,,,,
44975,43115,10.1021/bp9600187,NULL,NULL,NULL,NULL,,
44997,43137,none,NULL,NULL,NULL,NULL,,
44999,43139,10.1007/BF02941717,NULL,38 g/L,ethanol,Alcohol,,111 g/L total sugar substrate
45015,43155,10.1002/(SICI)1097-0290(19960220)49:4<421::AID-BIT9>3.0.CO;2-R,NULL,NULL,NULL,NULL,,
52432,43180,none,,,,,,
45040,43180,none,-,-,-,-,,-
52433,43194,10.1016/0922-338X(96)80593-9,,,,,,
45054,43194,10.1016/0922-338X(96)80593-9,-,-,-,-,,-
45059,43199,none,-,-,-,-,,-
52434,43199,none,,,,,,
45065,43205,10.1016/0168-1656(95)00130-1,NULL,NULL,NULL,NULL,,
45091,43231,10.1016/0168-1656(95)00121-0,-,-,-,-,,-
52435,43231,10.1016/0168-1656(95)00121-0,Escherichia coli,,,,,
45092,43232,10.1016/0168-1656(95)00119-2,-,-,-,-,,-
52436,43232,10.1016/0168-1656(95)00119-2,,,,,ethanol,
45110,43250,10.1007/BF02788744,NULL,NULL,NULL,NULL,,
45113,43253,none,-,-,-,-,,-
52437,43253,none,,,,,,
45123,43263,10.1007/BF00143095,-,-,-,-,,-
52438,43263,10.1007/BF00143095,Saccharomyces cerevisiae,,,,,
45124,43264,10.1007/BF00143096,NULL,NULL,NULL,NULL,,
45129,43269,10.1093/protein/8.10.1057,-,-,-,-,,-
52439,43269,10.1093/protein/8.10.1057,,,,,,
45131,43271,10.1016/0168-1656(95)00072-X,-,-,-,-,,-
52440,43271,10.1016/0168-1656(95)00072-X,,,,,,
45136,43276,none,-,-,-,-,,-
52441,43276,none,,,,,hydrol,
45143,43283,10.1271/bbb.59.1727,-,-,-,-,,-
52442,43283,10.1271/bbb.59.1727,E. coli,,,,,
45144,43284,10.1016/0141-0229(94)00111-4,-,-,-,-,,-
52443,43284,10.1016/0141-0229(94)00111-4,Saccharomyces cerevisiae,,,,,
45159,43299,none,-,-,-,-,,-
52444,43299,none,Escherichia coli,,,,,
45170,43310,10.1002/bit.260470210,NULL,NULL,NULL,NULL,,
45203,43343,none,-,-,-,-,,-
52445,43343,none,,,,,,
45230,43370,10.1038/nbt0495-373,-,-,-,-,,-
52446,43370,10.1038/nbt0495-373,,,,,,
45233,43373,10.1038/nbt0495-389,-,-,-,-,,-
52447,43373,10.1038/nbt0495-389,Escherichia coli,,,,,
45241,43381,10.1271/bbb.59.382,NULL,NULL,NULL,NULL,,
45251,43391,10.1002/bit.260450309,NULL,NULL,NULL,NULL,,
45272,43412,10.1021/bk-1995-0604.ch001,NULL,NULL,NULL,NULL,,
52448,43428,10.1016/0922-338X(95)94199-2,,,,,glucose,
45288,43428,10.1016/0922-338X(95)94199-2,-,-,-,-,,-
52449,43431,10.1016/0922-338X(95)94089-A,Escherichia coli,70 g/l,PHB,Polymer,,
45291,43431,10.1016/0922-338X(95)94089-A,-,-,-,-,,-
52450,43432,10.1016/0922-338X(95)93988-V,Escherichia coli,21.7 g/l,L-aspartic acid,Amino Acid,,
45292,43432,10.1016/0922-338X(95)93988-V,-,-,-,-,,-
45298,43438,none,NULL,NULL,NULL,NULL,,
52451,43445,10.1007/BF00173922,Escherichia coli,,,,,
45305,43445,10.1007/BF00173922,-,-,-,-,,-
52452,43449,10.1271/bbb.58.2164,Escherichia coli,30 g/l,pyruvic acid,Acid,glucose,
45309,43449,10.1271/bbb.58.2164,-,-,-,-,,-
45328,43468,10.1002/bit.260440906,NULL,NULL,NULL,NULL,,
45333,43473,none,-,-,-,-,,-
52453,43473,none,,,,,,
45339,43479,none,-,-,-,-,,-
52454,43479,none,Bacillus brevis,,,,,
45365,43505,10.1021/bi00204a031,NULL,NULL,NULL,NULL,,
45378,43518,10.1021/bp00029a017,NULL,NULL,NULL,NULL,,
45388,43528,10.1002/bit.260440418,NULL,NULL,NULL,NULL,,
45392,43532,none,-,-,-,-,,-
52455,43532,none,Escherichia coli,,,,glycerol,
45393,43533,none,-,-,-,-,,-
52456,43533,none,Escherichia coli,25.5 g/l,pyruvic acid,Acid,glucose,
45407,43547,none,NULL,NULL,NULL,NULL,,
45418,43558,10.1007/BF01569753,NULL,NULL,NULL,NULL,,
45444,43584,10.1007/BF01023338,NULL,NULL,NULL,NULL,,
45464,43604,10.1515/bchm3.1994.375.4.271,-,-,-,-,,-
52457,43604,10.1515/bchm3.1994.375.4.271,S. hyicus,,,,,
45470,43610,10.1007/BF00155422,NULL,NULL,NULL,NULL,,
45471,43611,none,-,-,-,-,,-
52458,43611,none,Escherichia coli,,,,,
45481,43621,10.1021/bp00026a004,NULL,NULL,NULL,NULL,,
45490,43630,10.1016/0168-1656(94)90211-9,-,-,-,-,,-
52459,43630,10.1016/0168-1656(94)90211-9,,,,,,
45507,43647,none,NULL,NULL,NULL,NULL,,
45509,43649,10.1111/j.1432-1033.1994.tb19917.x,-,-,-,-,,-
52460,43649,10.1111/j.1432-1033.1994.tb19917.x,Escherichia coli,,,,,
45546,43686,10.1016/0922-338X(94)90362-X,-,-,-,-,,-
52461,43686,10.1016/0922-338X(94)90362-X,,,,,glucose,
45580,43720,10.1007/BF00170384,-,-,-,-,,-
52462,43720,10.1007/BF00170384,Escherichia coli,,,,glucose,
52463,43720,10.1007/BF00170384,Escherichia coli,9.2 g/l,L-tryptophan,Amino Acid,glucose,
45581,43721,none,-,-,-,-,,-
52464,43721,none,,,,,,
45599,43739,10.1016/0300-483X(93)02609-K,NULL,NULL,NULL,NULL,,
45618,43758,10.1007/BF00131766,NULL,NULL,NULL,NULL,,
45641,43781,none,-,-,-,-,,-
52465,43781,none,,,,,glucose,
45652,43792,10.1007/BF00205035,-,-,-,-,,-
52466,43792,10.1007/BF00205035,,,,,glucose,
45660,43800,10.1002/bit.260420209,NULL,NULL,NULL,NULL,,
45673,43813,none,-,-,-,-,,-
52467,43813,none,,,,,,
45675,43815,none,-,-,-,-,,-
52468,43815,none,Corynebacterium glutamicum,23 g/l,L-phenylalanine,Amino Acid,,
45681,43821,10.1007/BF00138537,NULL,NULL,NULL,NULL,,
45691,43831,10.1002/bit.260411112,NULL,NULL,NULL,NULL,,
45700,43840,10.1002/bit.260410804,NULL,NULL,NULL,NULL,,
45713,43853,10.1016/0168-8227(93)90112-I,-,-,-,-,,-
52469,43853,10.1016/0168-8227(93)90112-I,,,,,glucose,
45720,43860,10.1002/bit.260410305,NULL,NULL,NULL,NULL,,
45751,43891,10.1016/0168-1656(93)90104-U,-,-,-,-,,-
52470,43891,10.1016/0168-1656(93)90104-U,Escherichia coli,,,,,
45783,43923,none,-,-,-,-,,-
52471,43923,none,,,,,glucose,
45785,43925,none,-,-,-,-,,-
52472,43925,none,Escherichia coli,,,,,
45797,43937,none,-,-,-,-,,-
52473,43937,none,,,,,,
45802,43942,none,-,-,-,-,,-
52474,43942,none,Aspergillus oryzae,,,,,
45809,43949,none,Escherichia coli,38 grams per liter,ethanol,Alcohol,,0.51 g/g sugar (corn cob hydrolysate)
45811,43951,none,-,-,-,-,,-
52475,43951,none,,,,,,
45831,43971,10.1021/bp00015a010,NULL,NULL,NULL,NULL,,
45832,43972,10.1016/0168-1656(92)90075-K,-,-,-,-,,-
52476,43972,10.1016/0168-1656(92)90075-K,E. coli,,,,,
45833,43973,10.1016/0168-1656(92)90076-L,-,-,-,-,,-
52477,43973,10.1016/0168-1656(92)90076-L,E. coli,,,,glucose,
45838,43978,none,-,-,-,-,,-
52478,43978,none,Escherichia coli,,,,,
45842,43982,10.1016/0141-0229(92)90159-L,-,-,-,-,,-
52479,43982,10.1016/0141-0229(92)90159-L,Escherichia coli,,,,glucose,
